mode,band_low,band_high,n_uncertain,thr_policy,threshold,precision,recall,tp,fp,fn,tn,fnr,fpr,fdr
band_0.25_0.40,0.25,0.4,752,auto90,0.2,0.15683814303638646,0.9057971014492754,375.0,2016.0,39.0,880.0,0.09420289855072464,0.6961325966850829,0.8431618569636136
band_0.25_0.40,0.25,0.4,752,fixed,0.05,0.12870052976004986,0.9975845410628019,413.0,2796.0,1.0,100.0,0.0024154589371980675,0.9654696132596685,0.8712994702399501
band_0.25_0.40,0.25,0.4,752,fixed,0.08,0.13097514340344169,0.9927536231884058,411.0,2727.0,3.0,169.0,0.007246376811594203,0.9416436464088398,0.8690248565965584
band_0.25_0.40,0.25,0.4,752,fixed,0.1,0.13210594315245477,0.9879227053140096,409.0,2687.0000000000005,5.0,208.99999999999955,0.012077294685990338,0.9278314917127073,0.8678940568475453
band_0.25_0.40,0.25,0.4,752,fixed,0.12,0.13421926910299004,0.9758454106280193,404.0,2606.0,10.0,290.0,0.024154589371980676,0.8998618784530387,0.86578073089701
band_0.25_0.40,0.25,0.4,752,fixed,0.15,0.14114326040931546,0.966183574879227,400.0,2434.0,14.0,462.0,0.033816425120772944,0.8404696132596685,0.8588567395906845
band_0.25_0.40,0.25,0.4,752,fixed,0.18,0.14969135802469136,0.9371980676328503,388.0,2204.0,26.0,692.0,0.06280193236714976,0.761049723756906,0.8503086419753086
band_0.25_0.40,0.25,0.4,752,fixed,0.2,0.15683814303638646,0.9057971014492754,375.0,2016.0,39.0,880.0,0.09420289855072464,0.6961325966850829,0.8431618569636136
band_0.25_0.40,0.25,0.4,752,fixed,0.23,0.170182841068917,0.8768115942028986,363.0,1770.0000000000002,51.0,1125.9999999999998,0.12318840579710146,0.6111878453038675,0.829817158931083
band_0.25_0.40,0.25,0.4,752,fixed,0.25,0.1787878787878788,0.855072463768116,354.0,1625.9999999999998,60.0,1270.0000000000002,0.14492753623188406,0.5614640883977899,0.8212121212121212
band_0.25_0.40,0.25,0.4,752,fixed,0.28,0.17884517118037813,0.8454106280193237,350.0,1607.0,64.0,1289.0,0.15458937198067632,0.5549033149171271,0.8211548288196219
band_0.25_0.40,0.25,0.4,752,fixed,0.3,0.17947395564724083,0.8405797101449275,348.0,1590.9999999999998,66.0,1305.0000000000002,0.15942028985507245,0.5493784530386739,0.8205260443527591
band_0.25_0.40,0.25,0.4,752,fixed,0.32,0.17784711388455537,0.8260869565217391,342.0,1581.0,72.0,1315.0,0.17391304347826086,0.5459254143646409,0.8221528861154446
band_0.25_0.40,0.25,0.4,752,fixed,0.35,0.18013734812466983,0.8236714975845411,341.0,1552.0,73.0,1344.0,0.17632850241545894,0.5359116022099447,0.8198626518753301
band_0.25_0.40,0.25,0.4,752,fixed,0.38,0.17995689655172414,0.8067632850241546,334.0,1522.0,80.0,1374.0,0.1932367149758454,0.5255524861878453,0.8200431034482758
band_0.25_0.40,0.25,0.4,752,fixed,0.4,0.18078175895765472,0.8043478260869565,333.0,1509.0000000000002,81.0,1386.9999999999998,0.1956521739130435,0.5210635359116023,0.8192182410423453
band_0.25_0.40,0.25,0.4,752,fixed,0.42,0.1808695652173913,0.7536231884057971,312.0,1413.0,102.0,1483.0,0.2463768115942029,0.487914364640884,0.8191304347826087
band_0.25_0.40,0.25,0.4,752,fixed,0.45,0.18841544607190414,0.6835748792270532,283.0,1219.0,131.0,1677.0,0.3164251207729469,0.42092541436464087,0.8115845539280959
band_0.25_0.40,0.25,0.4,752,fixed,0.48,0.19517884914463451,0.606280193236715,251.0,1035.0000000000002,163.0,1860.9999999999998,0.39371980676328505,0.35738950276243103,0.8048211508553655
band_0.25_0.40,0.25,0.4,752,fixed,0.5,0.20247568523430592,0.5531400966183575,229.0,902.0,185.0,1994.0,0.4468599033816425,0.31146408839779005,0.7975243147656941
band_0.25_0.45,0.25,0.45,1045,auto95,0.15,0.14118481731110322,0.961352657004831,398.0,2421.0000000000005,16.0,474.99999999999955,0.03864734299516908,0.8359806629834255,0.8588151826888968
band_0.25_0.45,0.25,0.45,1045,auto90,0.15,0.14118481731110322,0.961352657004831,398.0,2421.0000000000005,16.0,474.99999999999955,0.03864734299516908,0.8359806629834255,0.8588151826888968
band_0.25_0.45,0.25,0.45,1045,fixed,0.05,0.12878079201746181,0.9975845410628019,413.0,2793.9999999999995,1.0,102.00000000000045,0.0024154589371980675,0.9647790055248617,0.8712192079825382
band_0.25_0.45,0.25,0.45,1045,fixed,0.08,0.1310322786832854,0.9903381642512077,410.0,2718.9999999999995,4.0,177.00000000000045,0.00966183574879227,0.9388812154696131,0.8689677213167146
band_0.25_0.45,0.25,0.45,1045,fixed,0.1,0.1319286871961102,0.9830917874396136,407.0,2678.0000000000005,7.0,217.99999999999955,0.016908212560386472,0.9247237569060776,0.8680713128038898
band_0.25_0.45,0.25,0.45,1045,fixed,0.12,0.1341789052069426,0.9710144927536232,402.0,2593.9999999999995,12.0,302.00000000000045,0.028985507246376812,0.8957182320441988,0.8658210947930574
band_0.25_0.45,0.25,0.45,1045,fixed,0.15,0.14118481731110322,0.961352657004831,398.0,2421.0000000000005,16.0,474.99999999999955,0.03864734299516908,0.8359806629834255,0.8588151826888968
band_0.25_0.45,0.25,0.45,1045,fixed,0.18,0.1504286827747467,0.9323671497584541,386.0,2179.9999999999995,28.0,716.0000000000005,0.06763285024154589,0.7527624309392263,0.8495713172252533
band_0.25_0.45,0.25,0.45,1045,fixed,0.2,0.15736040609137056,0.8985507246376812,372.0,1991.9999999999998,42.0,904.0000000000002,0.10144927536231885,0.6878453038674033,0.8426395939086294
band_0.25_0.45,0.25,0.45,1045,fixed,0.23,0.17134697762970014,0.8695652173913043,360.0,1741.0000000000002,54.0,1154.9999999999998,0.13043478260869565,0.6011740331491714,0.8286530223702999
band_0.25_0.45,0.25,0.45,1045,fixed,0.25,0.18046272493573265,0.8478260869565217,351.0,1593.9999999999998,63.0,1302.0000000000002,0.15217391304347827,0.5504143646408839,0.8195372750642673
band_0.25_0.45,0.25,0.45,1045,fixed,0.28,0.1812957157784744,0.8381642512077294,347.0,1567.0,67.0,1329.0,0.16183574879227053,0.5410911602209945,0.8187042842215256
band_0.25_0.45,0.25,0.45,1045,fixed,0.3,0.18215417106652587,0.8333333333333334,345.0,1549.0,69.0,1347.0,0.16666666666666666,0.5348756906077348,0.8178458289334741
band_0.25_0.45,0.25,0.45,1045,fixed,0.32,0.1808,0.8188405797101449,339.0,1536.0,75.0,1360.0,0.18115942028985507,0.5303867403314917,0.8192
band_0.25_0.45,0.25,0.45,1045,fixed,0.35,0.18246187363834424,0.8091787439613527,335.0,1501.0,79.0,1395.0,0.19082125603864733,0.5183011049723757,0.8175381263616558
band_0.25_0.45,0.25,0.45,1045,fixed,0.38,0.18303571428571427,0.7922705314009661,328.0,1464.0000000000002,86.0,1431.9999999999998,0.20772946859903382,0.5055248618784531,0.8169642857142857
band_0.25_0.45,0.25,0.45,1045,fixed,0.4,0.18422535211267604,0.7898550724637681,327.0,1448.0000000000002,87.0,1447.9999999999998,0.21014492753623187,0.5000000000000001,0.815774647887324
band_0.25_0.45,0.25,0.45,1045,fixed,0.42,0.1835334476843911,0.7753623188405797,321.0,1428.0,93.0,1468.0,0.2246376811594203,0.4930939226519337,0.8164665523156089
band_0.25_0.45,0.25,0.45,1045,fixed,0.45,0.18440954043048283,0.7657004830917874,317.0,1402.0,97.0,1494.0,0.23429951690821257,0.48411602209944754,0.8155904595695171
band_0.25_0.45,0.25,0.45,1045,fixed,0.48,0.18867924528301888,0.6763285024154589,280.0,1204.0,134.0,1692.0,0.32367149758454106,0.4157458563535912,0.8113207547169812
band_0.25_0.45,0.25,0.45,1045,fixed,0.5,0.19440242057488655,0.6207729468599034,257.0,1065.0,157.0,1831.0,0.37922705314009664,0.3677486187845304,0.8055975794251135
band_0.25_0.50,0.25,0.5,1358,auto95,0.15,0.1414859580519019,0.961352657004831,398.0,2415.0,16.0,481.0,0.03864734299516908,0.8339088397790055,0.8585140419480981
band_0.25_0.50,0.25,0.5,1358,auto90,0.15,0.1414859580519019,0.961352657004831,398.0,2415.0,16.0,481.0,0.03864734299516908,0.8339088397790055,0.8585140419480981
band_0.25_0.50,0.25,0.5,1358,fixed,0.05,0.12886115444617785,0.9975845410628019,413.0,2792.0,1.0,104.0,0.0024154589371980675,0.9640883977900553,0.8711388455538221
band_0.25_0.50,0.25,0.5,1358,fixed,0.08,0.13115802943058222,0.9903381642512077,410.0,2716.0,4.0,180.0,0.00966183574879227,0.9378453038674033,0.8688419705694178
band_0.25_0.50,0.25,0.5,1358,fixed,0.1,0.13209996754300551,0.9830917874396136,407.0,2674.0000000000005,7.0,221.99999999999955,0.016908212560386472,0.9233425414364642,0.8679000324569945
band_0.25_0.50,0.25,0.5,1358,fixed,0.12,0.13435828877005349,0.9710144927536232,402.0,2590.0,12.0,306.0,0.028985507246376812,0.8943370165745856,0.8656417112299465
band_0.25_0.50,0.25,0.5,1358,fixed,0.15,0.1414859580519019,0.961352657004831,398.0,2415.0,16.0,481.0,0.03864734299516908,0.8339088397790055,0.8585140419480981
band_0.25_0.50,0.25,0.5,1358,fixed,0.18,0.15035238841033674,0.927536231884058,384.0,2169.9999999999995,30.0,726.0000000000005,0.07246376811594203,0.7493093922651932,0.8496476115896633
band_0.25_0.50,0.25,0.5,1358,fixed,0.2,0.15731292517006804,0.893719806763285,370.0,1981.9999999999998,44.0,914.0000000000002,0.10628019323671498,0.68439226519337,0.842687074829932
band_0.25_0.50,0.25,0.5,1358,fixed,0.23,0.1716203259827421,0.8647342995169082,358.0,1727.9999999999998,56.0,1168.0000000000002,0.13526570048309178,0.5966850828729281,0.8283796740172579
band_0.25_0.50,0.25,0.5,1358,fixed,0.25,0.18101659751037344,0.8429951690821256,349.0,1579.0000000000002,65.0,1316.9999999999998,0.1570048309178744,0.5452348066298344,0.8189834024896265
band_0.25_0.50,0.25,0.5,1358,fixed,0.28,0.1819620253164557,0.8333333333333334,345.0,1551.0,69.0,1345.0,0.16666666666666666,0.5355662983425414,0.8180379746835443
band_0.25_0.50,0.25,0.5,1358,fixed,0.3,0.18196371398078975,0.8236714975845411,341.0,1533.0,73.0,1363.0,0.17632850241545894,0.5293508287292817,0.8180362860192103
band_0.25_0.50,0.25,0.5,1358,fixed,0.32,0.1809832522960562,0.8091787439613527,335.0,1516.0,79.0,1380.0,0.19082125603864733,0.5234806629834254,0.8190167477039438
band_0.25_0.50,0.25,0.5,1358,fixed,0.35,0.1824212271973466,0.7971014492753623,330.0,1478.9999999999998,84.0,1417.0000000000002,0.2028985507246377,0.5107044198895027,0.8175787728026533
band_0.25_0.50,0.25,0.5,1358,fixed,0.38,0.18352272727272728,0.7801932367149759,323.0,1437.0,91.0,1459.0,0.21980676328502416,0.49620165745856354,0.8164772727272727
band_0.25_0.50,0.25,0.5,1358,fixed,0.4,0.18495117748420448,0.7777777777777778,322.0,1419.0,92.0,1477.0,0.2222222222222222,0.48998618784530384,0.8150488225157955
band_0.25_0.50,0.25,0.5,1358,fixed,0.42,0.18388791593695272,0.7608695652173914,315.0,1397.9999999999998,99.0,1498.0000000000002,0.2391304347826087,0.4827348066298342,0.8161120840630472
